file,text_cleaned,text_lemm,text_stem,field
2011-46985-11-2, Демодуляторы  телевизионные  цифровые  измерительные  ДТЦ-2И  (далее  –  демодулято-ры) предназначены  для измерения параметров радиосигналов стандарта DVB-T телевизионных цифровых радиопередатчиков. ,[UNK] телевизионный цифровой измерительный [UNK] и далее [UNK] [UNK] предназначить для измерение параметр [UNK] стандарт телевизионный цифровой [UNK],[UNK] телевизион цифров измерительн [UNK] и дал [UNK] [UNK] предназнач для измерен параметр [UNK] стандарт телевизион цифров [UNK],
2011-46993-11, Набор  оптических  мер  (далее  по  тексту  –  набор  мер)  предназначен  для  измерений вершинной  рефракции  и  межцентрового  расстояния  офтальмологических  рефрактометров при проведении их первичной и периодической поверок. ,набор оптический мера далее по текст набор мера предназначить для измерение [UNK] [UNK] и [UNK] расстояние [UNK] [UNK] при проведение их первичный и периодический поверка,набор оптическ мер дал по текст набор мер предназнач для измерен [UNK] [UNK] и [UNK] расстоян [UNK] [UNK] при проведен их первичн и периодическ [UNK],
2011-47010-11," Преобразователи  измерительные  напряжения,  силы  тока  и  мощности  трехфазных электрических  сетей  ФЕ1890-АД  и  ФЕ1891-АД,  (далее  –  преобразователи)  предназначены для измерения параметров электрических сетей постоянного тока и однофазных сетей пере-менного тока частотой 50 Гц. ",преобразователи измерительный напряжение сила ток и мощность трехфазных электрический сеть [UNK] ад и [UNK] ад далее преобразователь предназначить для измерение параметр электрический сеть постоянный ток и однофазных сеть пере [UNK] ток частота гц,преобразовател измерительн напряжен сил ток и мощност трехфазн электрическ сет [UNK] ад и [UNK] ад дал преобразовател предназнач для измерен параметр электрическ сет постоя ток и однофазн сет пер мен ток частот гц,напряжение тока
2011-47066-11," Система  автоматизированная  информационно-  измерительная    коммерческого учета электрической энергии РТП-4 Самарского государственного академического  театра оперы  и  балета  (далее  АИИС  КУЭ  РТП-4  Самарского  государственного  академического театра оперы и балета), предназначена для измерения активной и реактивной электрической энергии, потребленной за установленные интервалы времени отдельными технологическими объектами РТП-4 , автоматического сбора, хранения и обработки полученной информации.  ",система автоматизировать информационно измерительный коммерческий учёт электрический энергия ртп [UNK] государственный [UNK] [UNK] [UNK] и [UNK] далее аиис куэ ртп [UNK] государственный [UNK] [UNK] [UNK] и [UNK] предназначить для измерение активный и реактивный электрический энергия потребить за установить интервал время отдельный технологический объект ртп автоматический сбор хранение и обработка получить информация,систем автоматизирова информацион измерительн коммерческ учет электрическ энерг ртп [UNK] государствен [UNK] [UNK] [UNK] и [UNK] дал аиис куэ ртп [UNK] государствен [UNK] [UNK] [UNK] и [UNK] предназнач для измерен активн и реактивн электрическ энерг потреблен за установлен интервал времен отдельн технологическ объект ртп автоматическ сбор хранен и обработк получен информац,
2011-47107-11," Источники  питания  постоянного  тока  B&K  PRECISION  серии  16XX  моделей  1621А, 1623А, 1627А, 1652, 1665, 1666, 1667, 1672, 1696, 1697, 1698 (далее - источники питания) пред-назначены для воспроизведения напряжения и силы постоянного тока. ",источник питание постоянный ток серия модель а а а далее источник питание пред назначить для воспроизведение напряжение и сила постоянный ток,источник питан постоя ток сер модел а а а дал источник питан пред назнач для воспроизведен напряжен и сил постоя ток,источники питания постоянного тока
2011-47130-11," Дефектоскопы ультразвуковые специализированные ""PELENG"" УДС2–111 (далее по тексту - дефектоскопы) предназначены для измерения амплитуды отраженного сигнала от поверхностных  и  подповерхностных  дефектов  на  поверхности  катания  колеса  (трещины, сколы и др.) и расстояния до выявленных дефектов. ",дефектоскоп ультразвуковой специализированный [UNK] далее по текст дефектоскопы предназначить для измерение [UNK] [UNK] сигнал от поверхностный и [UNK] дефект на поверхность [UNK] колесо [UNK] [UNK] и др и расстояние до [UNK] дефект,дефектоскоп ультразвуков специализирова [UNK] дал по текст дефектоскоп предназнач для измерен амплитуд отражен сигна от поверхностн и [UNK] дефект на поверхн [UNK] колес [UNK] [UNK] и др и расстоян до [UNK] дефект,
2011-47268-11-2," Контроллеры цифровые типа U  серий UT, UР, UМ, UD, US ( далее –  контроллеры) предназначены для измерения сигналов напряжения и силы постоянного тока, сигналов от термопар и термометров сопротивления различных градуировок, вычисления измеряемого параметра и выработки (кроме серии UM) управляющего сигнала. ",контроллер цифровой типа серия р м далее контроллер предназначить для измерение сигнал напряжение и сила постоянный ток сигнал от термопара и термометр сопротивление различный градуировка вычисление измеряемого параметр и выработка [UNK] серия [UNK] сигнал,контроллер цифров тип сер р м дал контроллер предназнач для измерен сигнал напряжен и сил постоя ток сигнал от термопар и термометр сопротивлен различн [UNK] вычислен измеря параметр и выработк [UNK] сер управля сигна,
2011-47310-11," Делители напряжения составные ДН-500пт предназначены для использования в качестве масштабного  преобразователя  фазных  высоких  напряжений  в  сетях  электроэнергетических объектов  и  в  высоковольтных  лабораториях  при  поверке  измерительных  трансформаторов напряжения класса точности 0,5 и менее точных с номинальными  напряжениями  330/√3 кВ и 500/√3 кВ, а также для контроля качества электрической энергии по ГОСТ 13109-97.  ",[UNK] напряжение [UNK] [UNK] пт предназначить для использование в качество масштабный преобразователь фазный высокий напряжение в сеть [UNK] объект и в высоковольтный лаборатория при поверка измерительный трансформатор напряжение класс точность и менее точный с номинальный напряжение кв и кв а также для контроль качество электрический энергия по гост,делител напряжен [UNK] [UNK] пт предназнач для использован в качеств масштабн преобразовател фазн высок напряжен в сет [UNK] объект и в высоковольтн лаборатор при поверк измерительн трансформатор напряжен класс точност и мен точн с номинальн напряжен кв и кв а такж для контрол качеств электрическ энерг по гост,напряжение тока
2011-47320-11," Система  автоматизированная  информационно-измерительная  коммерческого  учета электроэнергии  (АИИС  КУЭ)  энергоблока  №  4  ПГУ-450  Южной  ТЭЦ-22  филиала  «Невский» ОАО  «ТГК-1»  (далее  -  АИИС  КУЭ),  г.  Санкт-Петербург,  предназначена  для  измерения активной и реактивной энергии, а также для автоматизированного сбора, обработки, хранения и отображения   информации.  Выходные  данные  системы  могут  быть  использованы  для коммерческих расчетов ",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ энергоблок пгу южный тэц филиал невский оао тгк далее аиис куэ г [UNK] [UNK] предназначить для измерение активный и реактивный энергия а также для автоматизированный сбор обработка хранение и отображение информация выходной данные система мочь быть использовать для коммерческий расчёт,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ энергоблок пгу южн тэц филиа невск оа тгк дал аиис куэ г [UNK] [UNK] предназнач для измерен активн и реактивн энерг а такж для автоматизирова сбор обработк хранен и отображен информац выходн дан систем могут быт использова для коммерческ расчет,коммерческий учет электроэнергии 2
2011-47383-11," Система  автоматизированная  информационно-измерительная  коммерческого  учета электроэнергии  (АИИС  КУЭ)  тяговой  подстанции  ""Медвежья  Гора""  Октябрьской  ЖД  – филиала ОАО ""Российские Железные Дороги"" в границах Республики Карелия (далее по тексту -  АИИС  КУЭ)  предназначена  для  измерения  активной  и  реактивной  электроэнергии, потребленной  за  установленные  интервалы  времени,  сбора,  обработки,  хранения  и  передачи полученной информации. АИИС КУЭ решает следующие задачи: •  измерение 30-минутных приращений активной и реактивной электроэнергии; •  периодический  (1  раз  в  сутки)  и  /или    по  запросу  автоматический  сбор привязанных  к  единому  календарному  времени  результатов  измерений приращений электроэнергии с заданной дискретностью учета (30 мин); •  хранение  результатов  измерений  в  специализированной  базе  данных, отвечающей  требованию  повышенной  защищенности  от  потери  информации (резервирование баз данных) и от несанкционированного доступа; •  передача в организации–участники оптового рынка электроэнергии результатов измерений; •  предоставление  по  запросу  контрольного  доступа  к  результатам  измерений, данных  о  состоянии  объектов  и  средств  измерений  со  стороны  сервера организаций-участников оптового рынка электроэнергии; •  обеспечение  защиты  оборудования,  программного  обеспечения  и  данных  от несанкционированного  доступа  на  физическом  и  программном  уровне (установка паролей и т.п.); •  диагностика  и  мониторинг  функционирования  технических  и  программных средств АИИС КУЭ; •  конфигурирование и настройка параметров АИИС КУЭ; •  ведение системы единого времени в АИИС КУЭ (коррекция времени). ",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ тяговый подстанция [UNK] [UNK] октябрьский жд филиал оао российский железный дорога в граница республика [UNK] далее по текст аиис куэ предназначить для измерение активный и реактивный электроэнергия потребить за установить интервал время сбор обработка хранение и передача получить информация аиис куэ [UNK] следующий [UNK] измерение минутный приращение активный и реактивный электроэнергия периодический раз в [UNK] и или по запрос автоматический сбор [UNK] к единый [UNK] время результат измерение приращение электроэнергия с задать [UNK] учёт [UNK] хранение результат измерение в специализированный база данных [UNK] требование повышенный [UNK] от потеря информация [UNK] база данных и от несанкционированный доступ передача в организация [UNK] оптовый рынок электроэнергия результат измерение [UNK] по запрос контрольный доступ к результат измерение данных о состояние объект и средство измерение со сторона [UNK] организация [UNK] оптовый рынок электроэнергия обеспечение защита оборудование программный обеспечение и данных от несанкционированный доступ на физический и программный уровень установка [UNK] и т п диагностика и мониторинг функционирование технический и программный средство аиис куэ [UNK] и настройка параметр аиис куэ ведение система единый время в аиис куэ коррекция время,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ тягов подстанц [UNK] [UNK] октябрьск жд филиа оа российск железн дорог в границ республик [UNK] дал по текст аиис куэ предназнач для измерен активн и реактивн электроэнерг потреблен за установлен интервал времен сбор обработк хранен и передач получен информац аиис куэ [UNK] след [UNK] измерен минутн приращен активн и реактивн электроэнерг периодическ раз в [UNK] и ил по запрос автоматическ сбор [UNK] к един [UNK] времен результат измерен приращен электроэнерг с зада дискретн учет [UNK] хранен результат измерен в специализирова баз дан [UNK] требован повышен защищен от потер информац [UNK] баз дан и от несанкционирова доступ передач в организац [UNK] оптов рынк электроэнерг результат измерен [UNK] по запрос контрольн доступ к результат измерен дан о состоян объект и средств измерен со сторон [UNK] организац [UNK] оптов рынк электроэнерг обеспечен защит оборудован программн обеспечен и дан от несанкционирова доступ на физическ и программн уровн установк [UNK] и т п диагностик и мониторинг функционирован техническ и программн средств аиис куэ [UNK] и настройк параметр аиис куэ веден систем един времен в аиис куэ коррекц времен,
2011-47392-11," Система  измерительная  на  базе  счетчика-расходомера  массового  кориолисового ROTAMASS RCCT38 и контроллера измерительного ROC 809 (далее - ИС) предназначена для  измерения,  хранения  и  индикации  массового  расхода  (массы)  бутан-бутиленовой  фракции (далее - ББФ) при учетных операциях ЗБ ОАО «ТАИФ-НК». ",система измерительный на база счётчик расходомер массовый [UNK] и контроллер [UNK] далее ис предназначить для измерение хранение и индикация массовый расход масса бутан [UNK] фракция далее [UNK] при учётный операция зб оао таиф нк,систем измерительн на баз счетчик расходомер массов [UNK] и контроллер измерительн дал ис предназнач для измерен хранен и индикац массов расход масс [UNK] [UNK] фракц дал [UNK] при учетн операц зб оа таиф нк,
2011-47496-11," Система автоматизированная информационно-измерительная коммерческого учета электроэнергии АИИС КУЭ ООО «Всеволожский завод алюминиевых сплавов» (далее — АИИС  КУЭ  ООО  «Всеволожский  завод  алюминиевых  сплавов»)  предназначена  для измерения активной и реактивной электроэнергии, контроля ее передачи и потребления за установленные  интервалы  времени  отдельными  технологическими  объектами,  сбора, хранения и обработки полученной информации.  ",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ ооо всеволожский завод алюминиевый сплав далее аиис куэ ооо всеволожский завод алюминиевый сплав предназначить для измерение активный и реактивный электроэнергия контроль её передача и потребление за установить интервал время отдельный технологический объект сбор хранение и обработка получить информация,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ оо всеволожск завод алюминиев сплав дал аиис куэ оо всеволожск завод алюминиев сплав предназнач для измерен активн и реактивн электроэнерг контрол е передач и потреблен за установлен интервал времен отдельн технологическ объект сбор хранен и обработк получен информац,коммерческий учет электроэнергии 2
